Year,Rank,Title
1999,425,Leila
1999,426,My Dinner with Andre
1999,427,Nô
1999,428,The Empty Mirror
1999,429,Jeanne and the Perfect Guy
1999,430,"A Cool, Dry Place"
1999,431,Het ondergronds orkest
1999,432,Fever Pitch
1999,433,Suits
1999,434,Play It to the Bone
1999,435,Strawberry Fields
1999,436,I'm Crazy About Iris Blond
1999,437,Do You Wanna Dance?
1999,438,Beautopia
1999,439,Heaven
1999,440,Telling You
1999,441,Knockin' on Heaven's Door
1999,442,The Velocity of Gary
1999,443,I Want You
1999,444,The Pusher
1999,445,The Sticky Fingers of Time
1999,446,The Underground Comedy Movie
1999,447,Port Djema
1999,448,Nobody
