,2013,2014,2015,2016,2017,2018,2019,2020,2021
Brad Pitt,7.158333333333332,7.146153846153846,7.178571428571428,7.219999999999999,7.2125,7.2125,7.2125,7.205555555555557,7.205555555555557
Liam Neeson,6.789999999999999,6.789999999999999,6.6499999999999995,6.60625,6.60625,6.60625,6.588235294117647,6.566666666666666,6.566666666666666
Tom Hanks,7.24,7.308333333333334,7.308333333333334,7.3307692307692305,7.260000000000001,7.260000000000001,7.260000000000001,7.294117647058823,7.294117647058823
Morgan Freeman,6.611111111111111,6.633333333333333,6.58,6.58,6.5375,6.5375,6.476470588235294,6.476470588235294,6.476470588235294
Tom Cruise,7.0699999999999985,7.063636363636363,7.133333333333333,7.153846153846154,7.078571428571428,7.086666666666667,7.125,7.125,7.125
Julia Roberts,6.358333333333333,6.358333333333333,6.358333333333333,6.3538461538461535,6.319999999999999,6.425,6.425,6.425,6.425
Angelina Jolie,6.3076923076923075,6.3076923076923075,6.357142857142857,6.357142857142857,6.406666666666666,6.406666666666666,6.406666666666666,6.418749999999999,6.418749999999999
Anne Hathaway,6.6,6.6,6.741666666666666,6.769230769230768,6.728571428571428,6.728571428571428,6.6933333333333325,6.612500000000001,6.612500000000001
Will Smith,6.845454545454545,6.675,6.675,6.675,6.635714285714285,6.635714285714285,6.635714285714285,6.6,6.6
Gerard Butler,6.6125,6.6,6.720000000000001,6.720000000000001,6.541666666666668,6.446153846153847,6.493333333333334,6.4875,6.4875
Robert Downey Jr.,7.222222222222222,7.222222222222222,7.245454545454546,7.25,7.292307692307692,7.3,7.373333333333334,7.4375,7.4375
Emma Stone,6.8999999999999995,6.911111111111111,6.845454545454545,6.7250000000000005,6.823076923076924,6.814285714285715,6.86,6.85,6.85
Cameron Diaz,6.461538461538462,6.461538461538462,6.293333333333333,6.293333333333333,6.293333333333333,6.293333333333333,6.293333333333333,6.293333333333333,6.293333333333333
Vince Vaughn,6.091666666666668,6.107692307692308,6.107692307692308,6.057142857142858,6.057142857142858,6.057142857142858,6.057142857142858,6.126666666666667,6.126666666666667
Jack Black,6.56,6.56,6.56,6.536363636363635,6.583333333333332,6.607692307692307,6.564285714285714,6.573333333333333,6.573333333333333
Ryan Reynolds,6.300000000000002,6.411111111111111,6.411111111111111,6.5,6.625,6.6461538461538465,6.721428571428572,6.713333333333334,6.713333333333334
Kevin Hart,6.6,6.6,6.220000000000001,6.242857142857143,6.209090909090909,6.261538461538462,6.261538461538462,6.3066666666666675,6.3066666666666675
Robert De Niro,6.369999999999999,6.390909090909091,6.390909090909091,6.461538461538461,6.421428571428571,6.421428571428571,6.421428571428571,6.421428571428571,6.421428571428571
Ian McKellen,7.7555555555555555,7.76,7.75,7.684615384615385,7.684615384615385,7.684615384615385,7.684615384615385,7.607142857142857,7.607142857142857
Nicolas Cage,6.283333333333334,6.353846153846154,6.121428571428572,6.121428571428572,6.121428571428572,6.121428571428572,6.121428571428572,6.121428571428572,6.121428571428572
Christian Bale,7.48888888888889,7.460000000000001,7.327272727272728,7.366666666666667,7.366666666666667,7.366666666666667,7.353846153846154,7.4071428571428575,7.4071428571428575
Sandra Bullock,6.42,6.541666666666667,6.541666666666667,6.5307692307692315,6.5307692307692315,6.5307692307692315,6.507142857142858,6.507142857142858,6.507142857142858
Vin Diesel,6.57142857142857,6.55,6.711111111111111,6.681818181818182,6.681818181818182,6.642857142857143,6.642857142857143,6.642857142857143,6.642857142857143
Reese Witherspoon,6.344444444444445,6.344444444444445,6.42,6.3,6.366666666666666,6.323076923076922,6.171428571428571,6.171428571428571,6.171428571428571
Cate Blanchett,6.76,6.76,6.887499999999999,6.888888888888888,6.888888888888888,6.989999999999999,6.841666666666666,6.864285714285714,6.864285714285714
Jamie Foxx,7.0,6.945454545454546,6.792307692307692,6.792307692307692,6.792307692307692,6.707142857142856,6.707142857142856,6.707142857142856,6.707142857142856
Colin Farrell,6.3,6.459999999999999,6.4363636363636365,6.4363636363636365,6.4363636363636365,6.43076923076923,6.43076923076923,6.421428571428571,6.421428571428571
Rachel McAdams,7.199999999999999,7.199999999999999,7.159999999999999,7.091666666666666,7.123076923076923,7.123076923076923,7.107142857142857,7.107142857142857,7.107142857142857
