movie_title,key_words
Manchester by the Sea,Manchester by the Sea
Hell or High Water,Hell or High Water
The Forest,The Forest
Ben-Hur,Ben-Hur
Fences,Fences
Collateral Beauty,Collateral Beauty
Bridget Jones's Baby,"Bridget Jones,Baby"
What Now?,What Now
Whiskey Tango Foxtrot,Whiskey Tango Foxtrot
Snowden,Snowden
Mechanic: Resurrection,"Mechanic,Resurrection"
Free State of Jones,Free State of Jones
Blair Witch,Blair Witch
God's Not Dead 2,"God,Not Dead 2"
Keanu,Keanu
Middle School: The Worst Years of My Life,"Middle School,The Worst Years of My Life"
Nine Lives,Nine Lives
Race,Race
Eye in the Sky,Eye in the Sky
Bad Santa 2,Bad Santa 2
Masterminds,Masterminds
Norm of the North,Norm of the North
The Birth of a Nation,The Birth of a Nation
Eddie the Eagle,Eddie the Eagle
The Infiltrator,The Infiltrator
Keeping Up with the Joneses,Keeping Up with the Joneses
Criminal,Criminal
"Hello, My Name Is Doris","Hello,My Name Is Doris"
The Edge of Seventeen,The Edge of Seventeen
Love & Friendship,"Love,Friendship"
Hillary's America: The Secret History of the Democratic Party,"Hillary,America,The Secret History of the Democratic Party"
Triple 9,Triple 9
The Light Between Oceans,The Light Between Oceans
Moonlight,Moonlight
Fifty Shades of Black,Fifty Shades of Black
Café Society,"Caf,Society"
Pride and Prejudice and Zombies,Pride and Prejudice and Zombies
The Darkness,The Darkness
Nocturnal Animals,Nocturnal Animals
The Perfect Match,The Perfect Match
Popstar: Never Stop Never Stopping,"Popstar,Never Stop Never Stopping"
Hardcore Henry,Hardcore Henry
Meet the Blacks,Meet the Blacks
Star Wars: Episode VIII - The Last Jedi,"Star Wars,The Last Jedi"
Beauty and the Beast,Beauty and the Beast
Wonder Woman,Wonder Woman
Guardians of the Galaxy Vol. 2,"Guardians of the Galaxy,2"
Spider-Man: Homecoming,"Spider-Man,Homecoming"
It,It
Thor: Ragnarok,"Thor,Ragnarok"
Despicable Me 3,Despicable Me 3
Logan,Logan
The Fate of the Furious,The Fate of the Furious
Justice League,Justice League
Dunkirk,Dunkirk
Coco,Coco
The Lego Batman Movie,"The Lego,Batman"
Get Out,Get Out
The Boss Baby,The Boss Baby
Pirates of the Caribbean: Dead Men Tell No Tales,"Pirates of the Caribbean,Dead Men Tell No Tales"
Jumanji: Welcome to the Jungle,"Jumanji,Welcome to the Jungle"
Kong: Skull Island,"Kong,Skull Island"
Cars 3,Cars 3
War for the Planet of the Apes,War for the Planet of the Apes
Split,Split
Transformers: The Last Knight,"Transformers,The Last Knight"
Wonder,Wonder
Girls Trip,Girls Trip
Fifty Shades Darker,Fifty Shades Darker
Baby Driver,Baby Driver
Annabelle: Creation,"Annabelle,Creation"
Daddy's Home 2,"Daddy,Home 2"
Murder on the Orient Express,Murder on the Orient Express
Kingsman: The Golden Circle,"Kingsman,The Golden Circle"
John Wick: Chapter 2,"John Wick,2"
Blade Runner 2049,Blade Runner 2049
The Emoji Movie,The Emoji Movie
Power Rangers,Power Rangers
The Mummy,The Mummy
The Hitman's Bodyguard,"The Hitman,Bodyguard"
Alien: Covenant,"Alien,Covenant"
Captain Underpants: The First Epic Movie,"Captain Underpants,The First Epic"
A Bad Moms Christmas,A Bad Moms Christmas
A Dog's Purpose,"A Dog,Purpose"
Pitch Perfect 3,Pitch Perfect 3
The Lego Ninjago Movie,"The Lego,Ninjago"
Baywatch,Baywatch
The Shack,The Shack
Happy Death Day,Happy Death Day
Ferdinand,Ferdinand
Atomic Blonde,Atomic Blonde
American Made,American Made
The Dark Tower,The Dark Tower
The Greatest Showman,The Greatest Showman
Boo 2! A Madea Halloween,"Boo 2,A Madea Halloween"
Snatched,Snatched
The Great Wall,The Great Wall
Smurfs: The Lost Village,"Smurfs,The Lost Village"
Going in Style,Going in Style
All Eyez on Me,All Eyez on Me
xXx: Return of Xander Cage,"xXx,Return of Xander Cage"
47 Meters Down,47 Meters Down
The Big Sick,The Big Sick
Ghost in the Shell,Ghost in the Shell
Valerian and the City of a Thousand Planets,Valerian and the City of a Thousand Planets
The Star,The Star
King Arthur: Legend of the Sword,"King Arthur,Legend of the Sword"
Jigsaw,Jigsaw
American Assassin,American Assassin
The Foreigner,The Foreigner
"Everything, Everything",Everything
Wind River,Wind River
Geostorm,Geostorm
Monster Trucks,Monster Trucks
Fist Fight,Fist Fight
How to Be a Latin Lover,How to Be a Latin Lover
Lady Bird,Lady Bird
Kidnap,Kidnap
Underworld: Blood Wars,"Underworld,Blood Wars"
The Mountain Between Us,The Mountain Between Us
Life,Life
The Nut Job 2: Nutty by Nature,"The Nut Job,Nutty by Nature"
Rings,Rings
Logan Lucky,Logan Lucky
Home Again,Home Again
Resident Evil: The Final Chapter,"Resident Evil,The Final Chapter"
The House,The House
Gifted,Gifted
"Three Billboards Outside Ebbing, Missouri","Three Billboards Outside Ebbing,Missouri"
The Bye Bye Man,The Bye Bye Man
Victoria & Abdul,"Victoria,Abdul"
Rough Night,Rough Night
My Little Pony: The Movie,"My Little Pony,The Movie"
Sleepless,Sleepless
Diary of a Wimpy Kid: The Long Haul,"Diary of a Wimpy Kid,The Long Haul"
The Circle,The Circle
Baahubali 2: The Conclusion,"Baahubali 2,The Conclusion"
Chips,Chips
Only the Brave,Only the Brave
Darkest Hour,Darkest Hour
The Disaster Artist,The Disaster Artist
Mother!,Mother
The Zookeeper's Wife,"The Zookeeper,Wife"
The Glass Castle,The Glass Castle
Downsizing,Downsizing
Flatliners,Flatliners
Detroit,Detroit
The Shape of Water,The Shape of Water
The Case for Christ,The Case for Christ
Wish Upon,Wish Upon
It Comes At Night,It Comes At Night
Born in China,Born in China
Father Figures,Father Figures
